"","grid","pop","ind","lon","lat"
"110","nil.d2","nil",5,-70.6566162109083,42.5959319956544
"111","nil.d2","nil",6,-70.6565917681623,42.5959320506914
"112","nil.d2","nil",7,-70.6565674206321,42.5959320746508
"113","nil.d2","nil",8,-70.6565674739389,42.5959499998963
"114","nil.d2","nil",9,-70.6565674206042,42.5959679251419
"115","nil.d2","nil",10,-70.6565917681483,42.5959679491167
"116","nil.d2","nil",11,-70.6566162109083,42.595968004159
"117","nil.d2","nil",12,-70.6566406536683,42.5959679491167
"118","nil.d2","nil",13,-70.656640579393,42.5959499999041
"119","nil.d2","nil",14,-70.6566162109083,42.5959499999067
"120","nil.d2","nil",15,-70.6565918424236,42.5959499999041
"121","nil.d1","nil",1,-70.6565187903042,42.5959679252351
"122","nil.d1","nil",2,-70.6565187369694,42.5959499999896
"123","nil.d1","nil",3,-70.6565187902762,42.595932074744
"124","nil.d1","nil",4,-70.656494442746,42.5959320507847
"125","nil.d1","nil",5,-70.65647,42.5959319957477
"126","nil.d1","nil",6,-70.656445557254,42.5959320507847
"127","nil.d1","nil",7,-70.6564212097238,42.595932074744
"128","nil.d1","nil",8,-70.6564212630306,42.5959499999896
"129","nil.d1","nil",9,-70.6564212096958,42.5959679252351
"130","nil.d1","nil",10,-70.65644555724,42.59596794921
"131","nil.d1","nil",11,-70.65647,42.5959680042522
"132","nil.d1","nil",12,-70.65649444276,42.59596794921
"133","nil.d1","nil",13,-70.6564943684847,42.5959499999974
"134","nil.d1","nil",14,-70.65647,42.59595
"135","nil.d1","nil",15,-70.6564456315153,42.5959499999974
"136","nil.s1","nil",1,-70.6552787907644,42.5965579252333
"137","nil.s1","nil",2,-70.6552787374292,42.5965399999896
"138","nil.s1","nil",3,-70.6552787907364,42.5965220747459
"139","nil.s1","nil",4,-70.6552544429766,42.5965220507866
"140","nil.s1","nil",5,-70.65523,42.5965219957495
"141","nil.s1","nil",6,-70.6552055570235,42.5965220507866
"142","nil.s1","nil",7,-70.6551812092636,42.5965220747459
"143","nil.s1","nil",8,-70.6551812625708,42.5965399999896
"144","nil.s1","nil",9,-70.6551812092356,42.5965579252333
"145","nil.s1","nil",10,-70.6552055570094,42.5965579492082
"146","nil.s1","nil",11,-70.65523,42.5965580042504
"147","nil.s1","nil",12,-70.6552544429906,42.5965579492082
"148","nil.s1","nil",13,-70.6552543687146,42.5965399999974
"149","nil.s1","nil",14,-70.65523,42.59654
"150","nil.s1","nil",15,-70.6552056312854,42.5965399999974
"151","nil.s2","nil",1,-70.6555387908736,42.5966979252328
"152","nil.s2","nil",2,-70.6555387375383,42.5966799999896
"153","nil.s2","nil",3,-70.6555387908457,42.5966620747463
"154","nil.s2","nil",4,-70.6555144430313,42.596662050787
"155","nil.s2","nil",5,-70.65549,42.59666199575
"156","nil.s2","nil",6,-70.6554655569687,42.596662050787
"157","nil.s2","nil",7,-70.6554412091543,42.5966620747463
"158","nil.s2","nil",8,-70.6554412624617,42.5966799999896
"159","nil.s2","nil",9,-70.6554412091264,42.5966979252328
"160","nil.s2","nil",10,-70.6554655569547,42.5966979492077
"161","nil.s2","nil",11,-70.65549,42.59669800425
"162","nil.s2","nil",12,-70.6555144430453,42.5966979492077
"163","nil.s2","nil",13,-70.6555143687691,42.5966799999974
"164","nil.s2","nil",14,-70.65549,42.59668
"165","nil.s2","nil",15,-70.6554656312309,42.5966799999974
"166","nil.s3","nil",1,-70.6553587909204,42.5967579252326
"167","nil.s3","nil",2,-70.655358737585,42.5967399999896
"168","nil.s3","nil",3,-70.6553587908925,42.5967220747465
"169","nil.s3","nil",4,-70.6553344430547,42.5967220507872
"170","nil.s3","nil",5,-70.65531,42.5967219957502
"171","nil.s3","nil",6,-70.6552855569453,42.5967220507872
"172","nil.s3","nil",7,-70.6552612091075,42.5967220747465
"173","nil.s3","nil",8,-70.655261262415,42.5967399999896
"174","nil.s3","nil",9,-70.6552612090796,42.5967579252326
"175","nil.s3","nil",10,-70.6552855569312,42.5967579492075
"176","nil.s3","nil",11,-70.65531,42.5967580042498
"177","nil.s3","nil",12,-70.6553344430688,42.5967579492075
"178","nil.s3","nil",13,-70.6553343687925,42.5967399999974
"179","nil.s3","nil",14,-70.65531,42.59674
"180","nil.s3","nil",15,-70.6552856312075,42.5967399999974
"181","wes.d3","wes",1,-70.8047363004431,42.5579178139691
"182","wes.d3","wes",2,-70.8047362471408,42.5578998886041
"183","wes.d3","wes",3,-70.8047363004152,42.557881963239
"184","wes.d3","wes",4,-70.8047119676827,42.5578819392795
"185","wes.d3","wes",5,-70.8046875397923,42.5578818842421
"186","wes.d3","wes",6,-70.8046631119019,42.5578819392795
"187","wes.d3","wes",7,-70.8046387791694,42.557881963239
"188","wes.d3","wes",8,-70.8046388324438,42.5578998886041
"189","wes.d3","wes",9,-70.8046387791415,42.5579178139691
"190","wes.d3","wes",10,-70.8046631118879,42.5579178379441
"191","wes.d3","wes",11,-70.8046875397923,42.5579178929867
"192","wes.d3","wes",12,-70.8047119676967,42.5579178379441
"193","wes.d3","wes",13,-70.8047118934665,42.5578998886119
"194","wes.d3","wes",14,-70.8046875397923,42.5578998886145
"195","wes.d3","wes",15,-70.804663186118,42.5578998886119
"196","wes.d2","wes",1,-70.8045175305218,42.5579078696619
"197","wes.d2","wes",2,-70.8045174772195,42.5578899442969
"198","wes.d2","wes",3,-70.8045175304939,42.5578720189318
"199","wes.d2","wes",4,-70.8044931977653,42.5578719949723
"200","wes.d2","wes",5,-70.8044687698788,42.5578719399349
"201","wes.d2","wes",6,-70.8044443419923,42.5578719949723
"202","wes.d2","wes",7,-70.8044200092636,42.5578720189318
"203","wes.d2","wes",8,-70.804420062538,42.5578899442969
"204","wes.d2","wes",9,-70.8044200092357,42.5579078696619
"205","wes.d2","wes",10,-70.8044443419782,42.5579078936369
"206","wes.d2","wes",11,-70.8044687698788,42.5579079486795
"207","wes.d2","wes",12,-70.8044931977793,42.5579078936369
"208","wes.d2","wes",13,-70.8044931235492,42.5578899443047
"209","wes.d2","wes",14,-70.8044687698788,42.5578899443072
"210","wes.d2","wes",15,-70.8044444162084,42.5578899443047
"211","wes.d1","wes",1,-70.8042987606353,42.5578979253547
"212","wes.d1","wes",2,-70.804298707333,42.5578799999897
"213","wes.d1","wes",3,-70.8042987606074,42.5578620746245
"214","wes.d1","wes",4,-70.8042744278826,42.557862050665
"215","wes.d1","wes",5,-70.80425,42.5578619956276
"216","wes.d1","wes",6,-70.8042255721174,42.557862050665
"217","wes.d1","wes",7,-70.8042012393926,42.5578620746245
"218","wes.d1","wes",8,-70.804201292667,42.5578799999897
"219","wes.d1","wes",9,-70.8042012393647,42.5578979253547
"220","wes.d1","wes",10,-70.8042255721033,42.5578979493297
"221","wes.d1","wes",11,-70.80425,42.5578980043723
"222","wes.d1","wes",12,-70.8042744278966,42.5578979493297
"223","wes.d1","wes",13,-70.8042743536665,42.5578799999974
"224","wes.d1","wes",14,-70.80425,42.55788
"225","wes.d1","wes",15,-70.8042256463335,42.5578799999974
